5,0.59049,0.5904901314,1.314e-07,2.225e-07
6,0.531441,0.5279774633,-0.0034635367,0.0065172553
7,0.4782969,0.4791517867,0.0008548867,0.0017873557
8,0.43046721,0.4326464529,0.0021792429,0.0050625062
9,0.387420489,0.389296598,0.001876109,0.0048425651
10,0.3486784401,0.3494544464,0.0007760063,0.0022255643
11,0.3138105961,0.3132299688,-0.0005806273,0.0018502475
12,0.2824295365,0.2805534824,-0.0018760541,0.0066425563
13,0.2541865828,0.2503286758,-0.0038579071,0.0151774614
14,0.2287679245,0.2208471111,-0.0079208135,0.0346237939
15,0.2058911321,0.1937206004,-0.0121705317,0.0591114907
16,0.1853020189,0.1672754887,-0.0180265302,0.0972818876
17,0.166771817,0.1430484564,-0.0237233606,0.1422504175
18,0.1500946353,0.1198656419,-0.0302289934,0.2013995594
19,0.1350851718,0.0992269984,-0.0358581734,0.2654486269
20,0.1215766546,0.0801660677,-0.0414105869,0.3406129824
21,0.1094189891,0.0641524717,-0.0452665174,0.4136989179
22,0.0984770902,0.0501260914,-0.0483509988,0.4909872814
